CUI_2,InstitucionBancaria_2,AbreviacionInstitucion_2,TipoCuenta_2,MontoTransferencia,FechaTransferencia,tipotrx
1187255777,Banco Agromercantil,BAM,Monetaria en $,3248,2020-05-07 03:49:46,credito
2320648240,Banco G&T,G&T,Monetaria en Q,9708,2020-01-05 06:23:00,credito
4380702766,Banco de desarrollo rural,BANRURAL,Ahorro,9281,2020-12-25 06:47:45,credito
9835876975,Banco Promerica,Promerica,Ahorro,9825,2021-04-11 12:09:02,credito
440057779,Banco G&T,G&T,Monetaria en $,1043,2020-01-06 12:52:42,credito
3693967563,Banco G&T,G&T,Monetaria en $,4225,2021-02-06 18:35:19,credito
7737952055,Banco Promerica,Promerica,Ahorro,5223,2021-02-26 16:07:46,credito
440057779,Banco G&T,G&T,Monetaria en $,4420,2020-10-16 20:25:58,credito
6393106875,Banco G&T,G&T,Monetaria en Q,506,2020-05-17 17:09:15,credito
3334586502,Banco G&T,G&T,Monetaria en Q,8264,2020-10-05 09:43:22,credito
5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,2356,2020-10-19 01:10:43,credito
1805028979,Banco G&T,G&T,Monetaria en Q,7825,2020-08-09 01:12:56,credito
4380702766,Banco Agromercantil,BAM,Monetaria en $,4091,2020-02-23 04:15:12,credito
4474118367,Banco de desarrollo rural,BANRURAL,Monetaria en Q,6342,2020-02-16 20:54:17,credito
7858016997,Banco de desarrollo rural,BANRURAL,Ahorro,8184,2021-03-03 20:48:56,credito
7819264039,Banco Promerica,Promerica,Ahorro,8166,2021-03-01 07:17:57,credito
677914504,Banco Industrial,BI,Monetaria en Q,3974,2020-10-16 22:35:46,credito
6816494733,Banco Industrial,BI,Monetaria en Q,5794,2021-02-02 05:57:45,credito
7873382966,Banco Industrial,BI,Ahorro,8341,2020-04-30 01:21:16,credito
1187255777,Banco Industrial,BI,Ahorro,9287,2020-12-29 20:04:17,credito
6668839878,Banco Agromercantil,BAM,Ahorro,6183,2020-06-14 00:34:54,credito
2293547442,Banco G&T,G&T,Ahorro,8722,2020-11-06 23:35:34,credito
6668839878,Banco de desarrollo rural,BANRURAL,Monetaria en $,3872,2020-02-04 23:55:48,credito
2354138652,Banco G&T,G&T,Monetaria en Q,1716,2020-11-09 10:17:07,credito
3899636643,Banco Industrial,BI,Ahorro,1497,2021-02-10 13:15:28,credito
2897073799,Banco G&T,G&T,Monetaria en Q,796,2020-12-31 12:01:30,credito
5563911438,Banco Agromercantil,BAM,Monetaria en $,5412,2020-12-14 04:58:42,credito
9835876975,Banco Promerica,Promerica,Ahorro,6296,2020-04-28 10:56:22,credito
1962610551,Banco Industrial,BI,Monetaria en $,7822,2020-03-20 16:10:15,credito
8640571546,Banco Agromercantil,BAM,Monetaria en Q,7176,2021-01-07 17:31:26,credito
2720935689,Banco Promerica,Promerica,Monetaria en Q,9920,2020-12-22 08:46:01,credito
2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en $,7349,2020-10-22 15:12:29,credito
4640351089,Banco Agromercantil,BAM,Ahorro,9661,2021-03-26 15:05:28,credito
2320648240,Banco Promerica,Promerica,Monetaria en $,4123,2021-02-07 20:32:58,credito
3345353652,Banco Agromercantil,BAM,Monetaria en Q,5761,2020-06-29 09:54:27,credito
